trial,list,itemid,item,type,condition,grammar,modality,verb_type,framing,picture,linguistic,critical,question,correct_answer
36,6,c16,100,critical,condition3,canonical,visual,INT,"Last Thursday, Henry was",c16_skiing_m.png,,Adam was_snowboarding because he wanted_to make new_friends.,,
37,6,fl11,263,filler,filler,filler,visual,filler,"This morning, Daniela is ",f11_paintingroom_w.png,,"Although she dislikes painting, Maria is painting hers for a change of scenery.",Is Maria painting her room despite disliking it?,Y
38,6,d17,143,critical,condition4,canonical,linguistic,INT,"Yesterday, Amelia was",,listening,Cathy was_watching_TV because she wanted_to enjoy new_episodes.,,
39,6,fl35,287,filler,filler,filler,linguistic,filler,"Today, Sarah is",,sketching a landscape,"After completing hers, Alex will ask her for feedback on his.",Is Sarah sketching a landscape today?,Y
40,6,e18,186,critical,condition5,pronoun,visual,TRN,"This morning, Celeb was",c18_carryingfuniture_m.png,,Owen was_doing_it_too because he had_to move to_a_new_apartment.,,
41,6,fl12,264,filler,filler,filler,visual,filler,"Today, Ray is ",f12_learningtobike_m.png,,"After he masters it, Sam will give him tips for riding on trails.",Will Sam give tips?,Y
42,6,f19,229,critical,condition6,pronoun,linguistic,INT,"Last weekend, Zara was",,climbing a wall,Natalie was_doing_it_too because she wanted_to get healthier.,,
43,6,fl36,288,filler,filler,filler,linguistic,filler,"This weekend, Mia will ",,build a birdhouse,"Although Chris isn’t a fan of crafts, he will build one too.",Will Chris build a birdhouse?,Y
44,6,a20,20,critical,condition1,ellipsis,visual,INT,"Yesterday, Thomas was",c20_crying_m.png,,Matthew was_too because he had_to leave the town.,,
45,6,fl13,265,filler,filler,filler,visual,filler,"This evening, Erica will ",f13_notingdown_w.png,,"Nevertheless, Anna might not take any since she prefers to listen attentively.",Does Anna prefer to listen attentively?,Y
46,6,fl37,289,filler,filler,filler,linguistic,filler,"This holiday season, Ava is ",,decorating her tree,"Nevertheless, Jacob is waiting until next week to start.",Is Jacob waiting until next week to decorate his tree?,Y
47,6,b21,63,critical,condition2,ellipsis,linguistic,INT,"This morning, Bella was",,laughing,Chloe was_too because she needed_to release some_tension.,,
48,6,fl14,266,filler,filler,filler,visual,filler,"Later this week, Oscar will",f14_plantingflowers_m.png,,"Although the weather is unpredictable, Ethan will plant his tomorrow.",Is Oscar planting flowers?,Y
49,6,c22,106,critical,condition3,canonical,visual,INT,"On Tuesday, Blake was",c22_bicycling_m.png,,Ethan was_preparing because he needed_to go to_school.,,
50,6,fl38,290,filler,filler,filler,linguistic,filler,"Tomorrow morning, Lily will ",,clean her garage,"Before doing so, Noah will clear out the trash inside.",Will Noah clear the trash?,Y
51,6,d23,149,critical,condition4,canonical,linguistic,TRN,"Last weekend, Grace was",,washing a car,Fiona was_performing because she had_to impress her_parents.,,
52,6,fl15,267,filler,filler,filler,visual,filler,"This evening, Lucy is ",f15_organizingbookshelf_w.png,,"After she finishes, Chris will borrow a book from her.",Will Chris borrow a knife?,N
53,6,fl39,291,filler,filler,filler,linguistic,filler,"Today, Grace is ",,assembling furniture for her room,"After finishing, Lucas will help her move it into place.",Is Lucas going to sleep all day today?,N
54,6,e24,192,critical,condition5,pronoun,visual,TRN,"Yesterday, Isaac was",c24_playingbaseball_m.png,,Zack was_doing_it_too because he wanted_to improve his_mental health.,,
55,6,fl16,268,filler,filler,filler,visual,filler,"Today, Jonathan is ",f16_draftingthesis_m.png,,"Nevertheless, Alex is still brainstorming his ideas.",Is Alex already drafting his thesis?,N
56,6,f25,235,critical,condition6,pronoun,linguistic,INT,"This afternoon, Victoria was",,dancing,Athena was_doing_it_too because she needed_to prepare for_the performance.,,
57,6,fl40,292,filler,filler,filler,linguistic,filler,"This afternoon, Emma is ",,solving a jigsaw puzzle,"Although it’s challenging, Nathan is determined to complete one too.",Is Emma solving a jigsaw puzzle?,Y
58,6,a26,26,critical,condition1,ellipsis,visual,TRN,"Last weekend, Ryan was",c26_lightingcandle_man.png,,Tyson was_too because he wanted_to set the mood_for_dinner.,,
59,6,fl17,269,filler,filler,filler,visual,filler,"Tomorrow morning, Britney will",f17_rakingleaves_w.png,,"Before doing so, Leo plans to clear the garden of fallen branches.",Will Leo clear the garden of fallen branches?,Y
60,6,b27,69,critical,condition2,ellipsis,linguistic,INT,"On Saturday, Sophia was",,iceskating,Stella was_too because she wanted_to experience the famous_sport.,,
61,6,fl41,293,filler,filler,filler,linguistic,filler,"Tomorrow night, Olivia will ",,play the violin at the concert,"Nevertheless, Ethan feels nervous about performing his piece.",Will Olivia play the violin at the concert?,Y
62,6,c28,112,critical,condition3,canonical,visual,TRN,"Yesterday, Tyler was",c28_brushingteeth_m.png,,Joey was_shaving because he wanted_to look presentable.,,
63,6,fl18,270,filler,filler,filler,visual,filler,"Today, Kate is",f18_makingsandwitches_w.png,,"After she’s done, Daniel will help her pack them for a picnic.",Is Daniel making sandwitches?,N
64,6,d29,155,critical,condition4,canonical,linguistic,INT,"This morning, Ruby was",,yawning,Rebecca was_napping because she had_to stay up_late_last_night.,,
65,6,fl42,294,filler,filler,filler,linguistic,filler,"This month, Chloe is ",,learning to swim at the pool,"After her session, Mason will give her tips on improving her strokes.",Will Mason give Chloe swimming tips?,Y
66,6,e30,198,critical,condition5,pronoun,visual,INT,"Last weekend, Jordan was",c30_driving_m.png,,Hugo was_doing_it_too because he needed_to see  a_doctor.,,
67,6,fl19,271,filler,filler,filler,visual,filler,"Later today, Peter is ",f19_kneadingdough_.png,,"Although it takes time, Daniel is determined to knead his dough by hand.",Will Daniel knead his dough by hand?,Y
68,6,f31,241,critical,condition6,pronoun,linguistic,INT,"On Sunday, Michaelle was",,boxing,Maria was_doing_it_too because she wanted_to release her_stress.,,
69,6,fl43,295,filler,filler,filler,linguistic,filler,"Later this week, Ella will ",,plant vegetables in her garden,"Before she starts, Ryan will test the soil quality for her.",Will Ryan test the soil quality?,Y
70,6,a32,32,critical,condition1,ellipsis,visual,INT,"Yesterday, Felix was",c32_surfing_m.png,,Brandon was_too because he wanted_to enjoy his_free_time.,,
71,6,fl20,272,filler,filler,filler,visual,filler,"Later this afternoon, Emma is",f20_photographing_w.png,,"Although it’s cloudy, Ethan plans to photograph them too.",Is Ethan hunting birds?,N
72,6,b33,75,critical,condition2,ellipsis,linguistic,TRN,"This afternoon, Linda was",,digging a hole,Melissa was_too because she needed_to hide treasure.,,
73,6,fl44,296,filler,filler,filler,linguistic,filler,"This morning, Alex is",,reading a guidebook for his trip,"Before leaving, Sarah will compare her itinerary with his.",Is Alex reading a comic book?,N
74,6,c34,118,critical,condition3,canonical,visual,INT,"Two hours ago, Frank was",c34__packing_m.png,,Martin was_stressing because he had_to leave for_Costa_Rica.,,
75,6,fl21,273,filler,filler,filler,visual,filler,"Tomorrow evening, Stanley will ",f21_foldinglaundry_m.png,,"Before he starts, Logan will separate his whites and colors.",Will Logan separate whites and colors?,Y
76,6,d35,161,critical,condition4,canonical,linguistic,TRN,"Last weekend, Alicia was",,hunting a deer,Isabella was_waiting because she wanted_to get fresh_meat.,,
77,6,fl45,297,filler,filler,filler,linguistic,filler,"This afternoon, Tom is",,learning to skateboard at the park,"Although he struggles at first, Lisa is cheering him on.",Is Lisa cheering Tom on while he learns to skateboard?,Y
78,6,e36,204,critical,condition5,pronoun,visual,TRN,"On Monday, Dominic was",c36_throwing_m.png,,Andrew was_doing_it_too because he wanted_to show his_strength.,,
79,6,fl22,274,filler,filler,filler,visual,filler,"Today, Ava is ",f22_fixingbike_w.png,,"Nevertheless, Ethan is asking someone else to fix his.",Is Ethan fixing his own bike?,N
80,6,f37,247,critical,condition6,pronoun,linguistic,TRN,"Yesterday, Daphne was",,hammering a nail,Bridget was_doing_it_too because she wanted_to fix the_broken_roof.,,
81,6,fl46,298,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,go hiking in the mountains,"After the hike, Grace will suggest a scenic spot for photos.",Will Grace suggest a scenic spot for photos?,Y
82,6,a38,38,critical,condition1,ellipsis,visual,INT,"This morning, Charles was",c38_smoking_m.png,,Wyatt was_too because he needed_to calm his_nerves.,,
83,6,fl23,275,filler,filler,filler,visual,filler,"This month, Kyle is",f23_learningtoplaychess_m.png,,"After his lesson, Mason will challenge him to a game.",Will Mason challenge Kyle to a chess game?,Y
84,6,b39,81,critical,condition2,ellipsis,linguistic,TRN,"Two hours ago, Jasmin  was",,kicking a person,Carla was_too because she had_to show her_dominance.,,
85,6,fl47,299,filler,filler,filler,linguistic,filler,"This weekend, Emma will ",,organize her closet,"Although she dislikes tidying up, Ethan will help her sort things out.",Is Ethan helping Emma?,Y
86,6,c40,124,critical,condition3,canonical,visual,TRN,"Last weekend, Logan was",c40_punching_m.png,,Paul was_fleeing because he had_to protect himself.,,
87,6,fl24,276,filler,filler,filler,visual,filler,"Later this evening, Ella is ",f24_settinguptent_w.png,,"Although it’s getting late, Ryan insists on setting his up too.",Is Ryan insisting on setting up his tent?,Y
88,6,d41,167,critical,condition4,canonical,linguistic,TRN,"On Tuesday, Catherine was",,pulling a rope,Jennifer was_struggling because she needed_to lift the_heavy_couch.,,
89,6,fl48,300,filler,filler,filler,linguistic,filler,"Tomorrow morning, Ava will",,play soccer with her team,"Nevertheless, Liam will stick to watching from the sidelines.",Is Ava playing baseball?,N
90,6,e42,210,critical,condition5,pronoun,visual,INT,"Yesterday, Adam was",c42_fishing_m.png,,Peter was_doing_it_too because he wanted_to enjoy some_solitude.,,
